exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,extra,totalQuantityinShipment,,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,lead,WASTE PAINT,200,200,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
AIMCO SOLREC LTD,425 MOROBEL DRIVE,MILTON,ONTARIO,CANADA,43.5197105,-79.8975296,lead,"TOLUENE, XYLENE",5460,5460,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,1760,1760,P - Pounds,H010,16117,PAD087561015,INMETCO,1 INMETCO DR.,ELLWOOD CITY,PA,40.8574267,-80.270097
DIESEL RECON DE MEXICO,BERMUDEZ INDUSTRIAL PARK,MEXICO CITY,MEXICO,MEXICO,19.3542099,-99.3009491,lead,WASTE PAINT,1470,1470,P - Pounds,H040,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
CLEAN HARBORS QUEBEC INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,lead,"WASTE FLAMMABLE SOLIDS, ORGANIC, NOS (PAINT POWDER)",1265,1265,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
TOXCO WASTE MANAGEMENT,PO BOX 232,TRAIL,BRITISH COLUMBIA,CANADA,49.8189011,-124.5163422,lead,"WASTE BATTERIES, WET, NON-SPILLABLE, ELECTRIC STORAGE, CORROSIVE",1248,1248,P,H010,92801,CAD088504881,KINBURSKY BROTHERS INC,1314 NORTH ANAHEIM BLVD,ANAHEIM,CA,33.8528734,-117.9197661
CLEAN HARBORS QUEBEC INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,lead,WASTE MERCURY,4017,4017,P,H010,53182,WIR000000356,WM MERCURY WASTE INC,21211 DURAND AVENUE,UNION GROVE,WI,42.680744,-88.075432
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",33730,33730,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,lead,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID NOS (LEAD)",1800,1800,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,lead,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, NOS (BOILER FLY ASH CONTAINING CHROMIUM, LEAD)",200,200,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",34920,34920,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",32670,32670,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
CLEAN HARBORS QUEBEC INC.,400 GALIPEAU/ RANG 5 EST,THURSO,QUEBEC,CANADA,45.5884933,-75.2422104,lead,"SODIUM NITRATE, LEAD NITRATE",22,22,P - Pounds,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4307,4307,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,15874,15874,L - Liters (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4129,4129,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,2513,2513,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,3964,3964,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4194,4194,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4526,4526,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4000,4000,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
